BinCenter (ps);Histo01;Histo02;Histo03;Histo04
0.5;1;1182;1;1182
1.5;0;1158;0;1158
2.5;4;1139;1;1139
3.5;1;1161;1;1161
4.5;0;1127;0;1127
5.5;0;1193;1;1193
6.5;1;1162;3;1162
7.5;0;1147;0;1147
8.5;1;1150;1;1150
9.5;1;1100;1;1100
10.5;1;1170;1;1170
11.5;1;1113;2;1113
12.5;0;1156;0;1156
13.5;1;1146;0;1146
14.5;2;1175;1;1175
15.5;0;1115;0;1115
16.5;1;1157;0;1157
17.5;2;1186;3;1186
18.5;1;1154;0;1154
19.5;0;1151;0;1151
20.5;1;1164;0;1164
21.5;0;1144;1;1144
22.5;0;1176;1;1176
23.5;3;1107;0;1107
24.5;0;1142;0;1142
25.5;3;1099;0;1099
26.5;1;1128;2;1128
27.5;2;1175;0;1175
28.5;1;1099;0;1099
29.5;1;1070;3;1070
30.5;2;1173;1;1173
31.5;1;1096;1;1096
32.5;0;1204;0;1204
33.5;0;1097;0;1097
34.5;1;1192;1;1192
35.5;1;1162;0;1162
36.5;0;1163;0;1163
37.5;0;1096;0;1096
38.5;0;1104;2;1104
39.5;0;1066;0;1066
40.5;1;1125;0;1125
41.5;1;1101;0;1101
42.5;1;1116;2;1116
43.5;0;1133;0;1133
44.5;1;1155;0;1155
45.5;1;1161;0;1161
46.5;1;1113;0;1113
47.5;0;1137;1;1137
48.5;1;1136;1;1136
49.5;1;1144;0;1144
50.5;1;1197;1;1197
51.5;0;1174;1;1174
52.5;1;1106;1;1106
53.5;1;1128;1;1128
54.5;2;1134;0;1134
55.5;2;1134;0;1134
56.5;0;1214;0;1214
57.5;0;1085;1;1085
58.5;2;1136;0;1136
59.5;3;1173;1;1173
60.5;2;1123;0;1123
61.5;1;1081;0;1081
62.5;1;1125;1;1125
63.5;0;1102;0;1102
64.5;1;1171;0;1171
65.5;0;1156;1;1156
66.5;1;1131;1;1131
67.5;0;1128;0;1128
68.5;0;1081;2;1081
69.5;1;1111;2;1111
70.5;0;1183;0;1183
71.5;1;1143;1;1143
72.5;0;1166;1;1166
73.5;0;1103;0;1103
74.5;1;1103;0;1103
75.5;0;1060;0;1060
76.5;1;1127;2;1127
77.5;1;1200;0;1200
78.5;1;1082;3;1082
79.5;0;1102;0;1102
80.5;1;1172;0;1172
81.5;3;1165;3;1165
82.5;1;1131;1;1131
83.5;2;1107;0;1107
84.5;0;1174;0;1174
85.5;1;1205;0;1205
86.5;2;1155;2;1155
87.5;0;1122;2;1122
88.5;1;1191;2;1191
89.5;1;1111;0;1111
90.5;2;1110;1;1110
91.5;0;1143;2;1143
92.5;1;1085;0;1085
93.5;1;1233;1;1233
94.5;0;1157;2;1157
95.5;0;1048;1;1048
96.5;0;1168;2;1168
97.5;1;1058;1;1058
98.5;0;1136;0;1136
99.5;1;1113;1;1113
100.5;1;1175;2;1175
101.5;0;1197;1;1197
102.5;2;1147;0;1147
103.5;0;1141;1;1141
104.5;1;1083;0;1083
105.5;0;1143;0;1143
106.5;0;1151;1;1151
107.5;1;1141;0;1141
108.5;1;1104;0;1104
109.5;0;1107;0;1107
110.5;0;1167;1;1167
111.5;1;1156;0;1156
112.5;0;1088;1;1088
113.5;0;1167;2;1167
114.5;2;1105;2;1105
115.5;0;1042;0;1042
116.5;2;1088;0;1088
117.5;0;1185;0;1185
118.5;1;1155;1;1155
119.5;1;1179;0;1179
120.5;4;1027;0;1027
121.5;2;1139;0;1139
122.5;5;1094;1;1094
123.5;1;1097;1;1097
124.5;0;1096;0;1096
125.5;0;1146;0;1146
126.5;0;1150;1;1150
127.5;4;1171;0;1171
128.5;3;1115;1;1115
129.5;0;1207;1;1207
130.5;0;1185;0;1185
131.5;0;1086;0;1086
132.5;2;1126;0;1126
133.5;1;1116;1;1116
134.5;0;1128;0;1128
