BinCenter (ps);Histo01;Histo02;Histo03;Histo04
0.5;0;0;0;0
1.5;0;0;1;2
2.5;1;0;0;0
3.5;0;0;0;1
4.5;0;0;0;0
5.5;0;0;0;0
6.5;0;0;3;1
7.5;0;0;1;0
8.5;0;0;0;0
9.5;0;1;2;0
10.5;0;0;2;0
11.5;0;0;1;0
12.5;0;0;2;0
13.5;0;0;0;0
14.5;0;0;0;0
15.5;0;0;1;1
16.5;0;0;0;1
17.5;0;0;0;1
18.5;0;0;0;0
19.5;0;1;0;0
20.5;0;0;2;0
21.5;0;0;0;0
22.5;0;0;1;3
23.5;0;0;0;0
24.5;0;0;0;0
25.5;0;0;1;1
26.5;0;0;0;1
27.5;0;0;1;1
28.5;0;0;1;0
29.5;0;0;0;1
30.5;0;0;0;0
31.5;0;0;0;0
32.5;0;0;0;0
33.5;0;1;0;1
34.5;0;0;1;1
35.5;0;0;1;0
36.5;0;0;0;0
37.5;0;0;1;1
38.5;0;0;2;0
39.5;0;0;1;0
40.5;0;1;1;0
41.5;0;0;1;2
42.5;0;0;0;0
43.5;0;0;0;0
44.5;0;0;1;1
45.5;0;0;2;1
46.5;0;0;0;1
47.5;0;0;0;1
48.5;0;0;1;0
49.5;0;0;1;1
50.5;0;0;0;2
51.5;0;0;0;0
52.5;0;0;1;0
53.5;0;0;0;0
54.5;0;0;1;1
55.5;0;0;0;0
56.5;0;0;1;0
57.5;0;0;0;1
58.5;0;0;0;1
59.5;0;0;1;1
60.5;0;1;0;0
61.5;0;0;2;1
62.5;0;0;0;0
63.5;0;1;0;0
64.5;0;0;2;0
65.5;0;0;1;1
66.5;0;0;0;1
67.5;0;0;2;0
68.5;0;0;0;1
69.5;0;0;0;0
70.5;0;0;0;0
71.5;0;0;1;1
72.5;0;0;1;0
73.5;0;0;3;1
74.5;0;1;0;0
75.5;0;0;0;2
76.5;0;0;1;0
77.5;0;0;0;1
78.5;0;0;2;0
79.5;1;0;1;2
80.5;0;0;1;0
81.5;0;0;1;0
82.5;0;0;2;0
83.5;0;0;0;0
84.5;0;0;0;0
85.5;0;0;0;0
86.5;0;1;1;0
87.5;0;0;1;0
88.5;0;0;4;4
89.5;0;0;1;1
90.5;0;0;4;1
91.5;0;0;0;0
92.5;0;0;1;2
93.5;0;0;0;0
94.5;0;0;0;0
95.5;0;0;0;2
96.5;0;0;1;0
97.5;0;0;0;0
98.5;0;0;0;1
99.5;0;0;1;2
100.5;0;0;0;0
101.5;0;0;0;1
102.5;0;0;1;0
103.5;0;1;0;1
104.5;0;0;0;0
105.5;0;1;0;1
106.5;0;0;1;1
107.5;0;0;0;1
108.5;0;0;0;1
109.5;0;0;1;1
110.5;0;0;0;1
111.5;0;0;0;0
112.5;0;1;0;1
113.5;0;0;1;0
114.5;2;0;0;1
115.5;0;0;0;1
116.5;0;0;1;0
117.5;0;0;0;0
118.5;0;0;0;0
119.5;0;1;0;0
120.5;0;0;0;0
121.5;0;0;3;0
122.5;0;0;0;1
123.5;0;0;1;0
124.5;0;0;3;0
125.5;0;0;2;1
126.5;0;0;0;0
127.5;0;0;0;1
128.5;0;0;2;1
129.5;1;0;0;2
130.5;0;1;0;1
131.5;0;0;1;0
132.5;0;0;1;1
133.5;0;0;0;0
134.5;0;0;0;2
135.5;0;1;0;2
136.5;0;0;0;0
137.5;0;0;1;1
138.5;0;1;0;0
139.5;0;0;1;0
140.5;0;1;2;1
141.5;0;0;0;1
142.5;0;0;1;1
143.5;0;0;1;0
144.5;0;0;0;0
145.5;0;0;3;1
146.5;0;0;0;0
147.5;0;0;0;0
148.5;0;0;0;0
149.5;0;0;1;1
150.5;0;0;1;0
151.5;0;0;1;0
152.5;0;0;0;1
153.5;0;0;1;2
154.5;0;0;1;1
155.5;0;0;0;1
156.5;0;0;0;0
157.5;0;0;1;0
158.5;0;0;1;0
159.5;1;0;1;0
160.5;0;0;1;1
161.5;0;0;2;0
162.5;0;0;2;0
163.5;0;0;3;1
164.5;0;0;1;0
165.5;1;0;1;0
166.5;0;0;0;2
167.5;0;0;0;0
168.5;0;0;0;0
169.5;0;0;0;0
170.5;0;0;1;1
171.5;0;0;1;0
172.5;0;1;1;1
173.5;0;0;0;0
174.5;0;0;1;2
175.5;0;0;1;0
176.5;0;0;0;0
177.5;0;0;1;0
178.5;0;0;0;1
179.5;0;0;1;0
