BinCenter (ps);Histo01;Histo02;Histo03;Histo04
1.5;222;375;0;0
4.5;184;382;2;0
7.5;180;404;4;0
10.5;187;405;3;0
13.5;204;398;0;0
16.5;216;391;0;0
19.5;199;375;0;0
22.5;177;407;3;0
25.5;177;359;1;0
28.5;203;350;1;0
31.5;172;355;0;0
34.5;188;389;1;0
37.5;191;382;0;0
40.5;212;364;1;0
43.5;194;341;0;0
46.5;193;354;0;0
49.5;186;370;0;0
52.5;202;385;2;0
55.5;182;382;1;0
58.5;198;345;0;0
61.5;217;372;1;0
64.5;190;397;0;0
67.5;205;373;1;0
70.5;163;353;3;0
73.5;200;404;2;0
76.5;173;344;0;0
79.5;218;347;2;0
82.5;179;401;0;0
85.5;196;374;0;0
88.5;200;368;2;0
91.5;187;387;1;0
94.5;171;386;3;0
97.5;194;373;1;0
100.5;198;392;2;0
103.5;173;382;0;0
106.5;208;395;1;0
109.5;183;379;1;0
112.5;189;393;0;0
115.5;192;375;0;0
118.5;182;382;0;0
121.5;208;401;2;0
124.5;195;398;2;0
127.5;174;393;1;0
130.5;205;391;2;0
133.5;194;383;1;0
136.5;193;356;1;0
139.5;195;404;1;0
142.5;204;373;1;0
145.5;197;385;4;0
148.5;187;393;1;0
151.5;200;366;0;0
154.5;179;385;2;0
157.5;194;358;0;0
160.5;195;360;0;0
163.5;202;387;2;0
166.5;189;383;3;0
169.5;192;407;1;0
172.5;188;385;1;0
175.5;190;359;0;0
178.5;222;400;3;0
181.5;175;398;1;0
184.5;216;361;0;0
187.5;194;382;0;0
190.5;203;361;2;0
193.5;187;386;1;0
196.5;191;382;1;0
199.5;161;334;0;0
202.5;183;380;0;0
205.5;190;400;0;0
208.5;212;373;1;0
211.5;204;399;3;0
214.5;211;387;0;0
217.5;205;346;0;0
220.5;213;376;4;0
223.5;187;396;0;0
226.5;191;384;3;0
229.5;207;386;0;0
232.5;200;348;2;0
235.5;185;388;0;0
238.5;195;385;0;0
241.5;214;398;0;0
244.5;166;378;1;0
247.5;176;380;0;0
250.5;196;342;0;0
253.5;206;351;1;0
256.5;202;389;0;0
259.5;179;373;1;0
262.5;188;387;0;0
265.5;172;374;1;0
268.5;190;377;0;0
271.5;169;377;1;0
274.5;202;350;0;0
277.5;198;411;0;0
280.5;186;418;0;0
283.5;186;396;1;0
286.5;188;396;3;0
289.5;176;352;3;0
292.5;200;370;1;0
295.5;215;391;2;0
298.5;199;357;1;0
301.5;179;385;0;0
304.5;197;392;1;0
307.5;183;345;0;0
310.5;220;363;1;0
313.5;194;326;0;0
316.5;178;332;0;0
319.5;201;346;0;0
322.5;177;361;1;0
325.5;193;386;3;0
328.5;179;380;2;0
331.5;192;375;1;0
334.5;170;359;1;0
337.5;194;389;2;0
340.5;175;361;2;0
343.5;178;371;0;0
346.5;182;373;1;0
349.5;176;386;1;0
352.5;187;403;0;0
355.5;178;384;0;0
358.5;200;367;3;0
361.5;186;399;1;0
364.5;185;340;1;0
367.5;182;371;2;0
370.5;206;390;3;0
373.5;202;364;2;0
376.5;204;329;0;0
379.5;198;393;2;0
382.5;226;347;0;0
385.5;205;364;1;0
388.5;187;376;0;0
391.5;197;367;3;0
394.5;197;410;2;0
397.5;184;343;2;0
400.5;164;382;1;0
403.5;207;372;3;0
406.5;180;415;3;0
409.5;213;413;0;0
412.5;211;376;1;0
415.5;180;381;1;0
418.5;200;363;2;0
421.5;208;352;0;0
424.5;172;388;1;0
427.5;182;388;2;0
430.5;197;391;0;0
433.5;204;347;2;0
436.5;202;355;2;0
439.5;196;381;3;0
442.5;214;396;1;0
445.5;189;367;0;0
448.5;198;399;0;0
451.5;193;397;4;0
454.5;206;349;1;0
457.5;161;352;0;0
460.5;174;362;1;0
463.5;171;382;0;0
466.5;185;346;1;0
469.5;170;379;0;0
472.5;182;407;1;0
475.5;207;403;1;0
478.5;197;415;0;0
481.5;177;399;0;0
484.5;175;364;2;0
487.5;234;392;0;0
490.5;191;359;3;0
493.5;206;346;2;0
496.5;206;396;0;0
499.5;201;340;2;0
502.5;188;376;0;0
505.5;205;428;2;0
508.5;196;364;1;0
511.5;199;417;3;0
514.5;188;371;0;0
517.5;180;399;1;0
520.5;219;381;1;0
523.5;205;391;1;0
526.5;179;370;1;0
529.5;202;345;0;0
532.5;198;367;2;0
535.5;192;383;1;0
538.5;190;364;0;0
541.5;188;399;1;0
544.5;204;360;0;0
547.5;162;416;0;0
550.5;214;394;1;0
553.5;192;374;2;0
556.5;185;340;2;0
559.5;218;377;0;0
562.5;190;394;1;0
565.5;194;337;1;0
568.5;192;403;1;0
571.5;186;403;2;0
574.5;192;389;0;0
577.5;202;364;1;0
580.5;178;372;1;0
583.5;192;400;1;0
586.5;200;380;1;0
589.5;183;400;1;0
592.5;186;381;1;0
595.5;181;391;0;0
598.5;183;369;3;0
601.5;168;383;2;0
604.5;205;362;1;0
607.5;180;372;2;0
610.5;206;407;1;0
613.5;204;372;1;0
616.5;182;377;3;0
619.5;193;373;0;0
622.5;183;369;1;0
625.5;208;376;1;0
628.5;209;381;0;0
631.5;173;394;1;0
634.5;179;369;2;0
637.5;184;401;1;0
640.5;189;349;0;0
643.5;193;367;0;0
646.5;221;383;0;0
649.5;189;362;2;0
652.5;194;358;1;0
655.5;182;369;0;0
658.5;197;384;1;0
661.5;184;383;2;0
664.5;190;385;1;0
667.5;188;378;0;0
670.5;232;401;1;0
673.5;218;331;0;0
676.5;180;372;3;0
679.5;194;381;0;0
682.5;206;387;0;0
685.5;192;388;1;0
688.5;194;381;1;0
691.5;163;349;1;0
694.5;196;383;0;0
697.5;191;392;2;0
700.5;186;361;0;0
703.5;177;371;3;0
706.5;199;352;1;0
709.5;179;371;0;0
712.5;172;371;1;0
715.5;184;402;1;0
718.5;187;338;1;0
721.5;183;370;0;0
724.5;184;387;0;0
727.5;189;354;0;0
730.5;196;387;1;0
733.5;193;375;1;0
736.5;208;351;1;0
739.5;191;378;0;0
742.5;197;396;0;0
745.5;197;391;0;0
748.5;193;416;0;0
751.5;184;365;1;0
754.5;186;374;2;0
757.5;195;379;0;0
760.5;205;384;1;0
763.5;196;375;0;0
766.5;225;342;1;0
769.5;154;344;1;0
772.5;174;368;1;0
775.5;195;374;0;0
778.5;169;373;1;0
781.5;202;362;3;0
784.5;182;358;1;0
787.5;222;376;1;0
790.5;205;378;0;0
793.5;199;397;1;0
796.5;187;355;1;0
799.5;212;383;1;0
802.5;214;380;1;0
805.5;189;411;1;0
808.5;180;399;1;0
811.5;195;356;1;0
814.5;195;382;2;0
817.5;207;380;2;0
820.5;181;368;0;0
823.5;189;395;0;0
826.5;183;385;0;0
829.5;227;351;1;0
832.5;192;349;0;0
835.5;188;401;0;0
838.5;200;378;1;0
841.5;193;377;0;0
844.5;198;368;2;0
847.5;180;377;3;0
850.5;187;337;2;0
853.5;217;376;1;0
856.5;212;361;2;0
859.5;192;400;1;0
862.5;183;410;0;0
865.5;198;373;1;0
868.5;187;409;0;0
871.5;210;376;1;0
874.5;203;366;0;0
877.5;177;372;0;0
880.5;190;385;1;0
883.5;167;349;1;0
886.5;183;381;0;0
889.5;190;406;1;0
892.5;200;393;1;0
895.5;218;367;2;0
898.5;184;373;1;0
901.5;210;378;1;0
904.5;179;391;2;0
907.5;202;377;0;0
910.5;200;373;4;0
913.5;201;378;0;0
916.5;194;368;3;0
919.5;176;367;2;0
922.5;165;396;1;0
925.5;193;360;2;0
928.5;207;378;0;0
931.5;190;354;1;0
934.5;216;370;0;0
937.5;219;359;0;0
940.5;204;330;1;0
943.5;195;386;2;0
946.5;198;386;1;0
949.5;197;365;0;0
952.5;216;362;4;0
955.5;232;391;0;0
958.5;217;373;1;0
961.5;200;345;1;0
964.5;185;385;0;0
967.5;168;356;2;0
970.5;192;358;1;0
973.5;195;394;0;0
976.5;168;370;1;0
979.5;174;365;1;0
982.5;164;396;0;0
985.5;190;384;0;0
988.5;173;394;1;0
991.5;191;373;2;0
994.5;207;375;3;0
997.5;196;357;0;0
1000.5;199;376;0;0
1003.5;189;381;1;0
1006.5;218;354;2;0
1009.5;203;377;0;0
1012.5;186;388;0;0
1015.5;188;376;1;0
1018.5;197;371;2;0
1021.5;206;379;1;0
1024.5;185;368;0;0
1027.5;184;354;3;0
1030.5;205;395;2;0
1033.5;210;311;2;0
1036.5;193;395;3;0
1039.5;220;360;2;0
1042.5;228;373;0;0
1045.5;193;382;1;0
1048.5;176;394;1;0
1051.5;203;353;0;0
1054.5;179;415;1;0
1057.5;198;344;0;0
1060.5;210;343;0;0
1063.5;170;375;0;0
1066.5;195;398;3;0
1069.5;197;401;1;0
1072.5;228;375;1;0
1075.5;221;414;1;0
1078.5;214;364;1;0
1081.5;217;363;0;0
1084.5;178;357;1;0
1087.5;207;367;0;0
1090.5;173;378;0;0
1093.5;191;367;2;0
1096.5;175;371;1;0
1099.5;166;371;1;0
1102.5;186;377;1;0
1105.5;221;373;2;0
1108.5;186;360;2;0
1111.5;169;371;1;0
1114.5;174;414;2;0
1117.5;203;415;2;0
1120.5;188;368;1;0
1123.5;184;395;2;0
1126.5;197;365;1;0
1129.5;195;381;1;0
1132.5;214;399;2;0
1135.5;190;387;0;0
1138.5;199;411;0;0
1141.5;191;431;1;0
1144.5;187;410;2;0
1147.5;189;423;0;0
1150.5;180;419;0;0
1153.5;176;442;2;0
1156.5;212;479;1;0
1159.5;192;466;3;0
1162.5;197;498;0;0
1165.5;184;477;1;0
1168.5;197;478;0;0
1171.5;178;457;0;0
1174.5;190;462;0;0
1177.5;202;451;0;0
1180.5;194;466;2;0
1183.5;185;470;0;0
1186.5;201;447;0;0
1189.5;169;452;2;0
1192.5;179;399;0;0
1195.5;214;416;0;0
1198.5;206;391;2;0
1201.5;190;428;0;0
1204.5;196;376;3;0
1207.5;194;406;3;0
1210.5;180;411;2;0
1213.5;196;355;0;0
1216.5;183;389;4;0
1219.5;182;338;1;0
1222.5;180;365;0;0
1225.5;184;389;2;0
1228.5;187;368;3;0
1231.5;192;379;2;0
1234.5;190;372;2;0
1237.5;206;379;0;0
1240.5;199;409;0;0
1243.5;193;348;2;0
1246.5;179;374;0;0
1249.5;202;389;2;0
1252.5;183;357;1;0
1255.5;204;370;1;0
1258.5;208;341;3;0
1261.5;178;353;2;0
1264.5;170;355;0;0
1267.5;190;422;2;0
1270.5;181;388;1;0
1273.5;173;383;1;0
1276.5;179;360;0;0
1279.5;182;383;2;0
1282.5;194;358;1;0
1285.5;180;357;0;0
1288.5;191;402;2;0
1291.5;173;387;1;0
1294.5;191;378;2;0
1297.5;175;378;1;0
1300.5;185;361;0;0
1303.5;208;372;0;0
1306.5;182;400;1;0
1309.5;187;368;1;0
1312.5;207;374;0;0
1315.5;200;376;2;0
1318.5;204;358;1;0
1321.5;175;357;2;0
1324.5;183;402;1;0
1327.5;205;382;1;0
1330.5;206;361;1;0
1333.5;179;384;1;0
1336.5;192;387;1;0
1339.5;198;390;2;0
1342.5;183;351;1;0
1345.5;211;340;0;0
1348.5;178;356;2;0
1351.5;192;349;0;0
1354.5;187;384;0;0
1357.5;185;383;1;0
1360.5;199;379;0;0
1363.5;192;358;0;0
1366.5;164;375;1;0
1369.5;185;367;2;0
1372.5;189;400;1;0
1375.5;182;333;1;0
1378.5;200;366;0;0
1381.5;203;364;1;0
1384.5;159;352;2;0
1387.5;202;400;0;0
1390.5;187;369;2;0
1393.5;204;375;0;0
1396.5;189;362;2;0
1399.5;153;364;0;0
1402.5;207;381;1;0
1405.5;180;353;0;0
1408.5;180;416;1;0
1411.5;186;381;2;0
1414.5;207;347;5;0
1417.5;207;370;0;0
1420.5;213;349;0;0
1423.5;177;392;1;0
1426.5;181;347;2;0
1429.5;173;378;1;0
1432.5;186;404;0;0
1435.5;173;354;0;0
1438.5;189;342;4;0
1441.5;183;388;0;0
1444.5;188;362;2;0
1447.5;197;407;0;0
1450.5;194;360;0;0
1453.5;177;416;0;0
1456.5;183;373;0;0
1459.5;187;372;1;0
1462.5;210;364;2;0
1465.5;207;377;3;0
1468.5;176;390;2;0
1471.5;190;365;0;0
1474.5;176;380;1;0
1477.5;184;405;4;0
1480.5;199;365;0;0
1483.5;196;396;1;0
1486.5;189;382;1;0
1489.5;189;378;0;0
1492.5;195;386;1;0
1495.5;212;341;3;0
1498.5;217;357;0;0
1501.5;197;374;2;0
1504.5;202;418;0;0
1507.5;194;365;1;0
1510.5;197;376;3;0
1513.5;176;362;0;0
1516.5;207;420;1;0
1519.5;198;362;1;0
1522.5;199;401;0;0
1525.5;188;390;1;0
1528.5;196;379;2;0
1531.5;216;396;2;0
1534.5;182;365;0;0
1537.5;186;363;1;0
1540.5;200;338;1;0
1543.5;192;363;2;0
1546.5;202;415;2;0
1549.5;188;373;0;0
1552.5;186;387;2;0
1555.5;162;379;1;0
1558.5;187;382;0;0
1561.5;174;380;0;0
1564.5;197;353;2;0
1567.5;180;376;1;0
1570.5;199;366;3;0
1573.5;194;394;4;0
1576.5;178;356;2;0
1579.5;203;398;2;0
1582.5;204;352;0;0
1585.5;186;384;0;0
1588.5;190;392;2;0
