Name:: Spectrum 8568;Timestamp:: 2025-Jul-02 16:11:23;Device:: Ossila Spectrometer (COM5);Colour:: (192: 29: 50);Integration Time (ms):: 150.0;Accumulation Number:: 1;Averaging Number:: 1;Delay Time:: 0;Trigger Mode:: Internal;Measurement Type:: Intensity;Comments:: 
Wavelength (nm),Intensity,Smoothed,Background,Reference
319.73,1494.0,0.0,0.0,0.0
320.26,1504.0,0.0,0.0,0.0
320.79,1561.0,0.0,0.0,0.0
321.32,1592.0,0.0,0.0,0.0
321.85,1485.0,0.0,0.0,0.0
322.38,1530.0,0.0,0.0,0.0
322.91,1560.0,0.0,0.0,0.0
323.44,1523.0,0.0,0.0,0.0
323.97,1554.0,0.0,0.0,0.0
324.5,1516.0,0.0,0.0,0.0
325.03,1549.0,0.0,0.0,0.0
325.56,1582.0,0.0,0.0,0.0
326.09,1546.0,0.0,0.0,0.0
326.62,1543.0,0.0,0.0,0.0
327.15,1578.0,0.0,0.0,0.0
327.68,1540.0,0.0,0.0,0.0
328.21,1597.0,0.0,0.0,0.0
328.74,1548.0,0.0,0.0,0.0
329.27,1579.0,0.0,0.0,0.0
329.8,1598.0,0.0,0.0,0.0
330.32,1560.0,0.0,0.0,0.0
330.85,1508.0,0.0,0.0,0.0
331.38,1492.0,0.0,0.0,0.0
331.91,1621.0,0.0,0.0,0.0
332.44,1557.0,0.0,0.0,0.0
332.97,1575.0,0.0,0.0,0.0
333.5,1590.0,0.0,0.0,0.0
334.03,1625.0,0.0,0.0,0.0
334.56,1591.0,0.0,0.0,0.0
335.09,1584.0,0.0,0.0,0.0
335.62,1575.0,0.0,0.0,0.0
336.15,1584.0,0.0,0.0,0.0
336.67,1553.0,0.0,0.0,0.0
337.2,1601.0,0.0,0.0,0.0
337.73,1562.0,0.0,0.0,0.0
338.26,1610.0,0.0,0.0,0.0
338.79,1543.0,0.0,0.0,0.0
339.32,1494.0,0.0,0.0,0.0
339.85,1516.0,0.0,0.0,0.0
340.38,1492.0,0.0,0.0,0.0
340.9,1510.0,0.0,0.0,0.0
341.43,1499.0,0.0,0.0,0.0
341.96,1590.0,0.0,0.0,0.0
