BinCenter (ps);Histo01;Histo02;Histo03;Histo04
3;10;11;0;0
9;14;19;0;1
15;13;10;0;0
21;7;18;0;0
27;7;18;0;0
33;18;14;0;0
39;13;14;0;0
45;10;20;0;1
51;7;16;0;0
57;13;12;0;0
63;3;11;0;0
69;10;17;0;0
75;13;10;0;1
81;11;20;0;0
87;13;18;0;0
93;9;16;0;1
99;9;13;0;0
105;7;12;0;0
111;7;16;0;0
117;8;17;0;1
123;6;11;1;0
129;11;19;0;0
135;9;20;0;0
141;16;21;0;0
147;11;22;0;0
153;5;17;0;0
159;14;27;0;0
165;6;13;0;0
171;10;21;0;0
177;9;12;0;0
183;9;15;0;0
189;10;25;0;0
195;14;18;0;3
201;12;14;0;0
207;9;17;0;0
213;11;19;0;2
219;6;18;1;0
225;16;24;0;3
231;7;17;0;2
237;11;24;0;3
243;9;27;0;1
249;10;9;0;2
255;7;17;0;0
261;6;23;0;0
267;9;24;0;0
273;7;19;1;0
279;13;12;0;0
285;6;24;2;0
291;5;17;0;0
297;9;15;2;0
303;10;19;0;0
309;10;17;0;0
315;4;20;1;0
321;10;18;1;0
327;7;6;1;0
333;10;17;0;1
339;9;14;1;0
345;14;17;0;1
351;11;17;0;0
357;9;16;1;1
363;6;20;1;1
369;21;29;0;0
375;6;20;0;0
381;11;18;1;0
387;13;12;1;0
393;10;18;0;0
399;9;19;1;0
405;11;17;0;0
411;7;17;1;0
417;9;26;0;0
423;8;15;0;1
429;14;21;1;0
435;11;20;0;0
441;12;7;0;0
447;11;14;0;0
453;11;18;0;1
459;8;20;0;0
465;11;16;0;0
471;15;23;0;0
477;12;9;0;0
483;7;17;0;0
489;12;18;0;0
495;11;19;0;0
501;6;22;0;0
507;14;17;0;0
513;7;14;0;0
519;12;20;0;1
525;14;19;0;1
531;8;14;0;1
537;13;28;0;2
543;13;18;0;4
549;10;15;1;2
555;11;21;0;4
561;7;17;1;1
567;11;27;1;2
573;11;22;0;1
579;11;21;0;1
585;8;21;0;0
591;12;18;0;1
597;17;23;0;1
603;7;21;0;0
609;14;14;0;0
615;14;20;0;0
621;6;11;0;1
627;8;13;0;0
633;7;18;1;0
