BinCenter (ps);Histo01;Histo02;Histo03;Histo04
1.5;33;57;20;0
4.5;24;53;13;0
7.5;22;48;14;0
10.5;31;52;13;0
13.5;28;55;18;0
16.5;29;50;15;0
19.5;27;46;21;0
22.5;25;62;27;0
25.5;30;50;21;0
28.5;18;46;29;0
31.5;39;56;12;0
34.5;30;59;23;0
37.5;29;65;23;0
40.5;24;55;10;0
43.5;31;65;15;0
46.5;32;53;17;0
49.5;28;60;15;0
52.5;31;52;20;0
55.5;28;75;13;0
58.5;36;52;22;0
61.5;23;62;14;0
64.5;29;63;19;0
67.5;31;58;15;0
70.5;31;49;14;0
73.5;36;56;13;0
76.5;17;56;13;0
79.5;25;55;18;0
82.5;19;63;15;0
85.5;23;35;20;0
88.5;29;53;17;0
91.5;28;54;18;0
94.5;31;52;15;0
97.5;32;52;11;0
100.5;34;61;19;0
103.5;24;49;22;0
106.5;36;61;24;0
109.5;25;48;22;0
112.5;28;67;25;0
115.5;24;47;23;0
118.5;31;45;14;0
121.5;29;55;15;0
124.5;23;48;20;0
127.5;26;43;18;0
130.5;36;44;10;0
133.5;17;50;23;0
136.5;37;58;15;0
139.5;22;46;19;0
142.5;33;57;14;0
145.5;18;46;14;0
148.5;29;53;18;0
151.5;30;51;20;0
154.5;23;41;24;0
157.5;26;49;12;0
160.5;23;61;18;0
163.5;21;41;16;0
166.5;30;60;17;0
169.5;22;50;18;0
172.5;28;59;19;0
175.5;35;53;19;0
178.5;19;48;16;0
181.5;29;56;13;0
184.5;32;50;15;0
187.5;38;69;8;0
190.5;22;60;14;0
193.5;28;54;26;0
196.5;21;46;16;0
199.5;24;62;22;0
202.5;32;52;21;0
205.5;26;50;17;0
208.5;46;64;23;0
211.5;34;53;22;0
214.5;30;45;25;0
217.5;22;68;20;0
220.5;26;72;14;0
223.5;26;32;11;0
226.5;31;59;8;0
229.5;31;55;16;0
232.5;25;54;17;0
235.5;32;50;18;0
238.5;29;57;21;0
241.5;28;58;15;0
244.5;36;54;21;0
247.5;26;57;22;0
250.5;25;63;13;0
253.5;29;62;9;0
256.5;26;56;19;0
259.5;29;65;11;0
262.5;20;42;19;0
265.5;33;54;17;0
268.5;29;55;18;0
271.5;22;52;25;0
274.5;23;54;20;0
277.5;30;61;13;0
280.5;33;57;11;0
283.5;25;59;16;0
286.5;28;62;24;0
289.5;31;56;11;0
292.5;24;46;17;0
295.5;29;55;19;0
298.5;34;47;13;0
301.5;23;48;19;0
304.5;30;48;13;0
307.5;40;53;19;0
310.5;37;45;16;0
313.5;29;45;16;0
316.5;22;50;13;0
319.5;30;45;20;0
322.5;33;51;23;0
325.5;30;49;23;0
328.5;33;56;17;0
331.5;30;52;13;0
334.5;38;55;10;0
337.5;27;44;15;0
340.5;35;63;12;0
343.5;30;50;15;0
346.5;31;69;20;0
349.5;29;59;19;0
352.5;27;49;21;0
355.5;28;65;16;0
358.5;33;62;11;0
361.5;39;54;16;0
364.5;27;51;12;0
367.5;30;52;10;0
370.5;31;50;21;0
373.5;40;53;13;0
376.5;28;37;19;0
379.5;35;47;17;0
382.5;34;54;10;0
385.5;27;62;8;0
388.5;21;60;19;0
391.5;28;52;23;0
394.5;27;52;23;0
397.5;31;55;20;0
400.5;28;49;20;0
403.5;23;48;9;0
406.5;32;65;19;0
409.5;24;56;11;0
412.5;43;51;11;0
415.5;32;59;17;0
418.5;27;44;15;0
421.5;30;44;19;0
424.5;35;42;21;0
427.5;22;47;13;0
430.5;44;69;14;0
433.5;16;60;11;0
436.5;21;49;23;0
439.5;25;60;15;0
442.5;20;45;20;0
445.5;33;55;11;0
448.5;29;41;12;0
451.5;35;47;14;0
454.5;28;49;16;0
457.5;45;57;10;0
460.5;21;50;25;0
463.5;32;53;18;0
466.5;30;66;16;0
469.5;20;66;19;0
472.5;33;59;20;0
475.5;31;44;13;0
478.5;15;42;18;0
481.5;35;56;22;0
484.5;22;64;18;0
487.5;26;53;15;0
490.5;22;50;19;0
493.5;26;50;13;0
496.5;20;50;18;0
499.5;32;66;23;0
502.5;37;49;11;0
505.5;34;51;16;0
508.5;27;57;16;0
511.5;32;61;23;0
514.5;28;48;17;0
517.5;32;45;23;0
520.5;18;47;27;0
523.5;33;58;18;0
526.5;32;54;20;0
529.5;26;43;19;0
532.5;28;50;20;0
535.5;33;56;10;0
538.5;35;68;22;0
541.5;41;48;27;0
544.5;28;65;12;0
547.5;34;66;22;0
550.5;29;62;18;0
553.5;37;66;14;0
556.5;29;65;31;0
559.5;29;55;17;0
562.5;36;52;11;0
565.5;27;49;12;0
568.5;26;51;19;0
571.5;36;55;9;0
574.5;33;48;17;0
577.5;34;45;14;0
580.5;37;59;16;0
583.5;22;50;19;0
586.5;28;45;15;0
589.5;21;49;16;0
592.5;29;45;23;0
595.5;30;49;18;0
598.5;32;52;22;0
601.5;30;64;11;0
604.5;19;47;10;0
607.5;38;59;18;0
610.5;19;56;17;0
613.5;30;58;19;0
616.5;24;57;15;0
619.5;29;60;23;0
622.5;35;49;20;0
625.5;32;51;13;0
628.5;29;47;16;0
631.5;27;53;18;0
634.5;21;64;24;0
637.5;36;44;21;0
640.5;24;61;19;0
643.5;36;54;24;0
646.5;30;51;17;0
649.5;33;56;21;0
652.5;23;46;20;0
655.5;33;42;14;0
658.5;32;66;16;0
661.5;27;56;19;0
664.5;25;53;14;0
667.5;28;56;16;0
670.5;22;48;17;0
673.5;25;54;19;0
676.5;30;53;17;0
679.5;23;51;17;0
682.5;27;44;15;0
685.5;29;47;15;0
688.5;34;45;21;0
691.5;23;46;21;0
694.5;31;45;19;0
697.5;22;42;19;0
700.5;20;46;11;0
703.5;29;56;20;0
706.5;39;47;13;0
709.5;32;56;25;0
712.5;34;59;19;0
715.5;30;43;11;0
718.5;30;39;19;0
721.5;23;46;19;0
724.5;21;60;17;0
727.5;28;49;20;0
730.5;35;53;13;0
733.5;37;57;20;0
736.5;21;66;10;0
739.5;35;57;12;0
742.5;27;43;17;0
745.5;29;47;15;0
748.5;34;50;26;0
751.5;27;66;13;0
754.5;23;44;13;0
757.5;34;60;18;0
760.5;33;61;18;0
763.5;32;65;20;0
766.5;26;59;16;0
769.5;34;51;18;0
772.5;30;53;19;0
775.5;24;66;15;0
778.5;26;57;20;0
781.5;22;52;11;0
784.5;30;44;20;0
787.5;32;42;26;0
790.5;34;54;28;0
793.5;32;58;23;0
796.5;26;52;16;0
799.5;27;38;13;0
802.5;28;51;11;0
805.5;24;55;27;0
808.5;24;55;14;0
811.5;23;54;13;0
814.5;33;57;14;0
817.5;32;61;21;0
820.5;38;39;23;0
823.5;23;45;18;0
826.5;26;55;16;0
829.5;31;54;16;0
832.5;26;50;20;0
835.5;34;58;16;0
838.5;25;52;15;0
841.5;26;64;20;0
844.5;21;54;17;0
847.5;20;56;18;0
850.5;29;47;17;0
