BinCenter (ps);Histo01;Histo02;Histo03;Histo04
1.5;32;32;7;0
4.5;27;27;7;0
7.5;26;26;6;0
10.5;34;34;5;0
13.5;34;34;7;0
16.5;17;17;7;0
19.5;33;33;7;0
22.5;28;28;6;0
25.5;24;24;4;0
28.5;25;25;3;0
31.5;42;42;2;0
34.5;28;28;2;0
37.5;26;26;7;0
40.5;32;32;9;0
43.5;30;30;2;0
46.5;30;30;4;0
49.5;14;14;6;0
52.5;22;22;3;0
55.5;19;19;5;0
58.5;40;40;2;0
61.5;23;23;7;0
64.5;33;33;6;0
67.5;30;30;5;0
70.5;25;25;5;0
73.5;35;35;2;0
76.5;27;27;6;0
79.5;28;28;4;0
82.5;31;31;3;0
85.5;25;25;7;0
88.5;30;30;5;0
91.5;34;34;5;0
94.5;23;23;1;0
97.5;18;18;4;0
100.5;26;26;2;0
103.5;26;26;9;0
106.5;25;25;4;0
109.5;22;22;5;0
112.5;29;29;3;0
115.5;26;26;4;0
118.5;37;37;2;0
121.5;25;25;6;0
124.5;27;27;10;0
127.5;34;34;4;0
130.5;21;21;6;0
133.5;28;28;5;0
136.5;21;21;9;0
139.5;16;16;9;0
142.5;28;28;2;0
145.5;29;29;3;0
148.5;46;46;6;0
151.5;38;38;3;0
154.5;28;28;2;0
157.5;32;32;8;0
160.5;24;24;3;0
163.5;32;32;6;0
166.5;34;34;4;0
169.5;22;22;5;0
172.5;22;22;5;0
175.5;30;30;5;0
178.5;36;36;6;0
181.5;34;34;3;0
184.5;25;25;8;0
187.5;29;29;8;0
190.5;22;22;5;0
193.5;28;28;6;0
196.5;21;21;9;0
199.5;30;30;5;0
202.5;29;29;2;0
205.5;42;42;3;0
208.5;32;32;6;0
211.5;27;27;4;0
214.5;37;37;6;0
217.5;24;24;5;0
220.5;31;31;4;0
223.5;39;39;7;0
226.5;23;23;5;0
229.5;25;25;3;0
232.5;25;25;4;0
235.5;25;25;7;0
238.5;33;33;3;0
241.5;34;34;2;0
244.5;32;32;2;0
247.5;33;33;4;0
250.5;26;26;6;0
253.5;34;34;1;0
256.5;24;24;5;0
259.5;26;26;2;0
262.5;25;25;2;0
265.5;20;20;4;0
268.5;24;24;2;0
271.5;28;28;3;0
274.5;26;26;5;0
277.5;19;19;5;0
280.5;29;29;4;0
283.5;39;39;8;0
286.5;31;31;8;0
289.5;27;27;3;0
292.5;18;18;9;0
295.5;31;31;6;0
298.5;32;32;4;0
301.5;28;28;3;0
304.5;26;26;1;0
307.5;19;19;3;0
310.5;20;20;6;0
313.5;28;28;1;0
316.5;24;24;4;0
319.5;26;26;2;0
322.5;28;28;6;0
325.5;33;33;5;0
328.5;29;29;6;0
331.5;23;23;8;0
334.5;25;25;2;0
337.5;26;26;1;0
340.5;32;32;3;0
343.5;25;25;6;0
346.5;32;32;5;0
349.5;26;26;4;0
352.5;26;26;2;0
355.5;28;28;6;0
358.5;28;28;4;0
361.5;31;31;3;0
364.5;24;24;7;0
367.5;28;28;4;0
370.5;22;22;2;0
373.5;19;19;7;0
376.5;26;26;5;0
379.5;24;24;7;0
382.5;27;27;5;0
385.5;24;24;2;0
388.5;26;26;2;0
391.5;18;18;5;0
394.5;27;27;6;0
397.5;20;20;4;0
400.5;29;29;7;0
403.5;31;31;4;0
406.5;37;37;6;0
409.5;25;25;6;0
412.5;28;28;4;0
415.5;28;28;3;0
418.5;36;36;5;0
421.5;26;26;9;0
424.5;23;23;5;0
427.5;29;29;1;0
430.5;31;31;6;0
433.5;29;29;5;0
436.5;38;38;2;0
439.5;22;22;5;0
442.5;35;35;4;0
445.5;30;30;4;0
448.5;40;40;4;0
451.5;28;28;7;0
454.5;26;26;3;0
457.5;33;33;6;0
460.5;25;25;0;0
463.5;28;28;3;0
466.5;22;22;6;0
469.5;23;23;3;0
472.5;25;25;4;0
475.5;26;26;3;0
478.5;39;39;3;0
481.5;24;24;1;0
484.5;24;24;4;0
487.5;27;27;8;0
490.5;13;13;4;0
493.5;21;21;3;0
496.5;34;34;4;0
499.5;21;21;3;0
502.5;19;19;10;0
505.5;24;24;7;0
508.5;30;30;6;0
511.5;31;31;5;0
514.5;28;28;7;0
517.5;35;35;7;0
520.5;20;20;5;0
523.5;30;30;4;0
526.5;24;24;8;0
529.5;19;19;4;0
532.5;25;25;9;0
535.5;38;38;4;0
538.5;23;23;4;0
541.5;29;29;5;0
544.5;27;27;8;0
547.5;34;34;8;0
550.5;27;27;6;0
553.5;31;31;3;0
556.5;24;24;3;0
559.5;35;35;5;0
562.5;20;20;7;0
565.5;28;28;7;0
568.5;26;26;4;0
571.5;29;29;3;0
574.5;25;25;2;0
577.5;27;27;5;0
580.5;27;27;9;0
583.5;29;29;7;0
586.5;34;34;4;0
589.5;21;21;4;0
592.5;24;24;3;0
595.5;24;24;4;0
598.5;31;31;3;0
601.5;25;25;7;0
604.5;26;26;5;0
607.5;43;43;5;0
610.5;36;36;3;0
613.5;31;31;4;0
616.5;22;22;7;0
619.5;29;29;4;0
622.5;28;28;2;0
625.5;36;36;3;0
628.5;22;22;5;0
631.5;35;35;3;0
634.5;35;35;3;0
637.5;30;30;6;0
640.5;17;17;6;0
643.5;30;30;8;0
646.5;17;17;3;0
649.5;25;25;3;0
652.5;24;24;0;0
655.5;29;29;7;0
658.5;31;31;4;0
661.5;32;32;8;0
664.5;26;26;2;0
667.5;35;35;6;0
670.5;33;33;3;0
673.5;31;31;6;0
676.5;32;32;5;0
679.5;30;30;7;0
682.5;28;28;6;0
685.5;26;26;3;0
688.5;21;21;3;0
691.5;23;23;5;0
694.5;27;27;6;0
697.5;32;32;8;0
700.5;32;32;1;0
703.5;40;40;5;0
706.5;26;26;3;0
709.5;24;24;5;0
712.5;27;27;6;0
715.5;26;26;6;0
718.5;35;35;7;0
721.5;25;25;7;0
724.5;32;32;3;0
727.5;31;31;10;0
730.5;32;32;1;0
733.5;33;33;4;0
736.5;26;26;6;0
739.5;30;30;3;0
742.5;27;27;9;0
745.5;36;36;5;0
748.5;32;32;2;0
751.5;21;21;4;0
754.5;26;26;7;0
757.5;24;24;4;0
760.5;27;27;3;0
763.5;28;28;8;0
766.5;34;34;2;0
769.5;25;25;6;0
772.5;35;35;8;0
775.5;32;32;9;0
778.5;33;33;3;0
781.5;33;33;6;0
784.5;28;28;6;0
787.5;25;25;1;0
790.5;27;27;2;0
793.5;24;24;2;0
796.5;31;31;6;0
799.5;28;28;3;0
802.5;23;23;5;0
805.5;31;31;4;0
808.5;31;31;5;0
811.5;24;24;5;0
814.5;31;31;4;0
817.5;28;28;8;0
820.5;28;28;4;0
823.5;29;29;6;0
826.5;25;25;8;0
829.5;27;27;5;0
832.5;29;29;3;0
835.5;23;23;3;0
838.5;24;24;4;0
841.5;44;44;2;0
844.5;24;24;4;0
847.5;26;26;7;0
850.5;24;24;3;0
853.5;39;39;8;0
856.5;18;18;4;0
859.5;22;22;10;0
862.5;23;23;7;0
865.5;27;27;6;0
868.5;27;27;2;0
871.5;35;35;6;0
874.5;31;31;7;0
877.5;20;20;3;0
880.5;23;23;6;0
883.5;19;19;8;0
886.5;29;29;3;0
889.5;22;22;5;0
892.5;27;27;4;0
895.5;27;27;8;0
898.5;34;34;7;0
901.5;33;33;3;0
904.5;25;25;5;0
907.5;23;23;3;0
910.5;31;31;1;0
913.5;25;25;4;0
916.5;25;25;4;0
919.5;20;20;3;0
922.5;23;23;5;0
925.5;35;35;3;0
928.5;31;31;4;0
931.5;28;28;4;0
934.5;34;34;6;0
937.5;23;23;3;0
940.5;30;30;4;0
943.5;23;23;3;0
946.5;30;30;4;0
949.5;20;20;6;0
952.5;40;40;3;0
955.5;20;20;3;0
958.5;26;26;2;0
961.5;37;37;7;0
964.5;28;28;6;0
967.5;28;28;5;0
970.5;37;37;7;0
973.5;23;23;1;0
976.5;34;34;6;0
979.5;31;31;5;0
982.5;29;29;5;0
985.5;30;30;4;0
988.5;43;43;4;0
991.5;27;27;3;0
994.5;30;30;6;0
997.5;31;31;4;0
1000.5;31;31;7;0
1003.5;24;24;3;0
1006.5;18;18;3;0
1009.5;35;35;9;0
1012.5;25;25;7;0
1015.5;27;27;3;0
1018.5;28;28;4;0
1021.5;30;30;5;0
1024.5;23;23;6;0
1027.5;35;35;3;0
1030.5;30;30;10;0
1033.5;22;22;5;0
1036.5;24;24;8;0
1039.5;20;20;6;0
1042.5;38;38;10;0
1045.5;30;30;6;0
1048.5;34;34;1;0
1051.5;30;30;1;0
1054.5;18;18;6;0
1057.5;39;39;3;0
1060.5;18;18;2;0
1063.5;30;30;3;0
1066.5;34;34;6;0
1069.5;24;24;4;0
1072.5;35;35;3;0
