BinCenter (ps);Histo01;Histo02;Histo03;Histo04
1.5;1;2;0;0
4.5;0;2;0;0
7.5;0;1;0;0
10.5;1;0;0;0
13.5;1;1;0;0
16.5;0;1;0;0
19.5;0;0;0;0
22.5;1;0;0;0
25.5;1;1;0;0
28.5;0;0;0;0
31.5;0;3;0;0
34.5;0;4;0;0
37.5;0;1;0;0
40.5;0;1;0;0
43.5;0;1;0;0
46.5;0;0;0;0
49.5;0;0;0;0
52.5;0;1;0;0
55.5;0;1;0;0
58.5;0;1;0;0
61.5;2;0;0;0
64.5;0;0;0;0
67.5;0;0;0;0
70.5;0;0;0;0
73.5;0;0;0;0
76.5;0;1;0;0
79.5;1;0;0;0
82.5;0;1;0;0
85.5;0;0;0;0
88.5;0;0;0;0
91.5;0;0;0;0
94.5;0;1;0;0
97.5;0;1;0;0
100.5;0;0;0;0
103.5;0;0;0;0
106.5;0;1;0;0
109.5;0;0;0;0
112.5;0;0;0;0
115.5;0;1;0;0
118.5;0;1;0;0
121.5;0;1;0;0
124.5;0;0;0;0
127.5;0;1;0;0
130.5;0;0;0;0
133.5;0;0;0;0
136.5;0;0;0;0
139.5;0;1;0;0
142.5;0;0;0;0
145.5;0;0;0;0
148.5;0;0;0;0
151.5;1;0;0;0
154.5;0;0;0;0
157.5;0;1;0;0
160.5;1;0;0;0
163.5;0;2;0;0
166.5;0;2;0;0
169.5;0;0;0;0
172.5;0;0;0;0
175.5;0;1;0;0
178.5;0;0;0;0
181.5;0;2;0;0
184.5;0;0;0;0
187.5;1;1;0;0
190.5;0;1;0;0
193.5;0;1;0;0
196.5;0;0;0;0
199.5;0;1;0;0
202.5;0;0;0;0
205.5;0;0;0;0
208.5;0;3;0;0
211.5;1;1;0;0
214.5;0;1;0;0
217.5;0;0;0;0
220.5;0;0;0;0
223.5;0;1;0;0
226.5;1;0;0;0
229.5;0;1;0;0
232.5;0;0;0;0
235.5;0;0;0;0
238.5;0;0;0;0
241.5;0;1;0;0
244.5;0;0;0;0
247.5;0;2;0;0
250.5;0;1;0;0
253.5;1;0;0;0
256.5;0;0;0;0
259.5;0;0;0;0
262.5;0;0;0;0
265.5;0;1;0;0
268.5;1;0;0;0
271.5;0;0;0;0
274.5;0;1;0;0
277.5;0;1;0;0
280.5;0;0;0;0
283.5;0;0;0;0
286.5;0;1;0;0
289.5;0;1;0;0
292.5;0;0;0;0
295.5;0;0;0;0
298.5;0;0;0;0
301.5;0;0;0;0
304.5;0;0;0;0
307.5;0;0;0;0
310.5;0;1;0;0
313.5;0;1;0;0
316.5;0;1;0;0
319.5;0;1;0;0
322.5;0;0;0;0
325.5;0;0;0;0
328.5;0;1;0;0
331.5;0;1;0;0
334.5;0;0;0;0
337.5;1;1;0;0
340.5;0;0;0;0
343.5;0;0;0;0
346.5;0;2;0;0
349.5;0;1;0;0
352.5;0;1;0;0
355.5;0;0;0;0
358.5;0;0;0;0
361.5;1;0;0;0
364.5;0;0;0;0
367.5;0;0;0;0
370.5;0;0;0;0
373.5;0;0;0;0
376.5;0;0;0;0
379.5;0;1;0;0
382.5;0;0;0;0
385.5;0;1;0;0
388.5;0;1;0;0
391.5;0;0;0;0
394.5;0;0;0;0
397.5;0;0;0;0
400.5;0;1;0;0
403.5;0;0;0;0
406.5;0;1;0;0
409.5;0;0;0;0
412.5;0;0;0;0
415.5;1;0;0;0
418.5;0;1;0;0
421.5;0;1;0;0
424.5;0;1;0;0
427.5;0;0;0;0
430.5;1;0;0;0
433.5;1;0;0;0
436.5;0;0;0;0
439.5;1;0;0;0
442.5;1;0;0;0
445.5;0;1;0;0
448.5;0;0;0;0
451.5;1;0;0;0
454.5;0;0;0;0
457.5;0;0;0;0
460.5;0;0;0;0
463.5;0;1;0;0
466.5;0;1;0;0
469.5;0;0;0;0
472.5;0;0;0;0
475.5;0;0;0;0
478.5;0;2;0;0
481.5;0;0;0;0
484.5;0;0;0;0
487.5;0;1;0;0
490.5;0;1;0;0
493.5;0;1;0;0
496.5;0;1;0;0
499.5;0;0;0;0
502.5;0;0;0;0
505.5;0;0;0;0
508.5;0;1;0;0
511.5;0;0;0;0
514.5;0;0;0;0
517.5;0;0;0;0
520.5;0;2;0;0
523.5;0;0;0;0
526.5;0;0;0;0
529.5;0;0;0;0
532.5;0;1;0;0
535.5;0;0;0;0
538.5;0;2;0;0
541.5;0;0;0;0
544.5;0;0;0;0
547.5;0;1;0;0
550.5;1;0;0;0
553.5;0;0;0;0
556.5;0;2;0;0
559.5;0;0;0;0
562.5;0;0;0;0
565.5;0;0;0;0
568.5;1;0;0;0
571.5;0;1;0;0
574.5;0;1;0;0
577.5;0;0;0;0
580.5;0;1;0;0
583.5;0;1;0;0
586.5;0;0;0;0
589.5;0;2;0;0
592.5;0;0;0;0
595.5;0;0;0;0
598.5;0;0;0;0
601.5;0;1;0;0
604.5;0;0;0;0
607.5;0;1;0;0
610.5;0;0;0;0
613.5;0;2;0;0
616.5;0;0;0;0
619.5;0;0;0;0
622.5;0;0;0;0
625.5;0;2;0;0
628.5;0;1;0;0
631.5;0;0;0;0
634.5;0;0;0;0
637.5;0;1;0;0
640.5;0;0;0;0
643.5;0;0;0;0
646.5;0;0;0;0
649.5;1;0;0;0
652.5;0;0;0;0
655.5;0;0;0;0
658.5;0;0;0;0
661.5;1;1;0;0
664.5;0;3;0;0
667.5;0;1;0;0
670.5;1;2;0;0
673.5;0;1;0;0
676.5;0;0;0;0
679.5;1;0;0;0
682.5;0;1;0;0
685.5;0;0;0;0
688.5;0;0;0;0
691.5;0;2;0;0
694.5;1;1;0;0
697.5;0;1;0;0
700.5;0;0;0;0
703.5;0;0;0;0
706.5;0;0;0;0
709.5;0;1;0;0
712.5;0;0;0;0
715.5;0;0;0;0
718.5;0;1;0;0
721.5;0;1;0;0
724.5;0;1;0;0
727.5;0;0;0;0
730.5;0;0;0;0
733.5;0;0;0;0
736.5;2;0;0;0
739.5;0;0;0;0
742.5;0;0;0;0
745.5;1;1;0;0
748.5;0;2;0;0
751.5;0;1;0;0
754.5;1;0;0;0
757.5;0;0;0;0
760.5;0;2;0;0
763.5;0;0;0;0
766.5;0;1;0;0
769.5;0;1;0;0
772.5;0;0;0;0
775.5;0;0;0;0
778.5;0;1;0;0
781.5;0;0;0;0
784.5;0;1;0;0
787.5;0;1;0;0
790.5;0;0;0;0
793.5;0;0;0;0
796.5;0;1;0;0
799.5;0;1;0;0
802.5;1;1;0;0
805.5;1;0;0;0
808.5;0;0;0;0
811.5;0;2;0;0
814.5;0;1;0;0
817.5;0;0;0;0
820.5;0;0;0;0
823.5;0;0;0;0
826.5;0;1;0;0
829.5;0;0;0;0
832.5;0;1;0;0
835.5;0;0;0;0
838.5;0;0;0;0
841.5;0;0;0;0
844.5;0;1;0;0
847.5;0;0;0;0
850.5;0;0;0;0
853.5;0;1;0;0
856.5;0;0;0;0
859.5;1;1;0;0
862.5;0;0;0;0
865.5;0;1;0;0
868.5;0;0;0;0
871.5;0;1;0;0
874.5;0;0;0;0
877.5;0;4;0;0
880.5;0;0;0;0
883.5;0;0;0;0
886.5;0;0;0;0
889.5;0;0;0;0
892.5;0;0;0;0
895.5;0;1;0;0
898.5;0;1;0;0
901.5;0;1;0;0
904.5;0;1;0;0
907.5;1;1;0;0
910.5;0;1;0;0
913.5;0;1;0;0
916.5;0;0;0;0
919.5;0;0;0;0
922.5;0;2;0;0
925.5;0;0;0;0
928.5;0;1;0;0
931.5;0;1;0;0
934.5;0;2;0;0
937.5;0;0;0;0
940.5;0;1;0;0
943.5;0;0;0;0
946.5;0;0;0;0
949.5;0;0;0;0
952.5;0;0;0;0
955.5;0;0;0;0
958.5;0;2;0;0
961.5;0;2;0;0
964.5;0;0;0;0
967.5;0;1;0;0
970.5;0;1;0;0
973.5;1;0;0;0
976.5;0;1;0;0
979.5;0;3;0;0
982.5;0;1;0;0
985.5;0;0;0;0
988.5;0;1;0;0
991.5;0;1;0;0
994.5;0;0;0;0
997.5;0;0;0;0
1000.5;0;0;0;0
1003.5;1;0;0;0
1006.5;0;0;0;0
1009.5;0;3;0;0
1012.5;0;0;0;0
1015.5;0;0;0;0
1018.5;0;0;0;0
1021.5;0;0;0;0
1024.5;0;1;0;0
1027.5;0;1;0;0
1030.5;0;1;0;0
1033.5;0;0;0;0
1036.5;0;1;0;0
1039.5;0;0;0;0
1042.5;0;1;0;0
1045.5;2;0;0;0
1048.5;0;0;0;0
1051.5;1;0;0;0
1054.5;0;1;0;0
1057.5;0;0;0;0
1060.5;0;0;0;0
1063.5;0;1;0;0
1066.5;0;0;0;0
1069.5;0;1;0;0
1072.5;0;0;0;0
1075.5;0;0;0;0
1078.5;0;1;0;0
1081.5;0;0;0;0
1084.5;1;0;0;0
1087.5;0;0;0;0
1090.5;0;1;0;0
1093.5;0;0;0;0
1096.5;0;2;0;0
1099.5;0;0;0;0
1102.5;0;1;0;0
1105.5;0;0;0;0
1108.5;0;2;0;0
1111.5;0;0;0;0
1114.5;1;2;0;0
1117.5;0;0;0;0
1120.5;0;1;0;0
1123.5;0;0;0;1
1126.5;0;0;0;1
1129.5;0;0;0;0
1132.5;0;0;0;0
1135.5;0;0;0;0
1138.5;0;2;0;0
1141.5;0;0;0;0
1144.5;0;0;0;0
1147.5;0;0;0;0
1150.5;0;0;0;0
1153.5;1;1;0;0
1156.5;0;1;0;0
1159.5;0;0;0;0
1162.5;0;0;0;0
1165.5;0;1;0;0
1168.5;0;0;0;0
1171.5;0;2;0;0
1174.5;1;0;1;0
1177.5;1;1;0;0
1180.5;0;0;0;0
1183.5;0;0;0;0
1186.5;0;1;0;0
1189.5;0;0;0;0
1192.5;0;0;0;0
1195.5;0;1;0;0
1198.5;0;1;0;1
1201.5;0;0;0;0
1204.5;1;0;0;0
1207.5;0;0;0;0
1210.5;0;1;0;0
1213.5;0;1;0;0
1216.5;0;1;0;0
1219.5;0;0;0;0
1222.5;0;0;0;0
1225.5;1;0;0;0
1228.5;0;0;0;0
1231.5;0;0;0;0
1234.5;0;0;0;0
1237.5;1;1;0;0
1240.5;0;1;0;0
1243.5;0;0;0;0
1246.5;0;0;0;0
1249.5;0;0;0;0
1252.5;0;0;0;0
1255.5;0;0;0;0
1258.5;1;0;0;0
1261.5;0;1;0;0
1264.5;0;0;0;0
1267.5;1;1;0;0
1270.5;1;0;0;0
1273.5;0;0;0;0
1276.5;0;0;0;0
1279.5;0;1;0;0
1282.5;0;1;0;0
1285.5;1;0;0;0
1288.5;1;0;0;0
1291.5;0;2;0;0
1294.5;1;0;0;0
1297.5;0;0;0;0
1300.5;0;1;0;0
1303.5;0;1;0;0
1306.5;0;0;0;0
1309.5;1;0;0;0
1312.5;1;0;0;0
1315.5;0;0;0;0
1318.5;0;0;0;0
1321.5;0;3;0;0
1324.5;0;0;0;0
1327.5;0;0;0;0
1330.5;0;1;0;0
1333.5;0;0;0;0
1336.5;0;0;0;1
1339.5;1;1;0;0
1342.5;1;0;0;0
1345.5;0;0;0;0
1348.5;0;1;0;0
1351.5;0;0;0;0
1354.5;0;0;0;0
1357.5;2;1;0;0
1360.5;0;0;0;0
1363.5;0;0;0;0
1366.5;0;0;0;0
1369.5;0;0;0;0
1372.5;0;0;0;0
1375.5;0;0;0;0
1378.5;0;1;0;0
1381.5;0;0;0;0
1384.5;2;1;0;0
1387.5;0;2;0;0
1390.5;0;0;0;0
1393.5;0;1;0;0
1396.5;0;0;0;0
1399.5;0;0;0;0
1402.5;0;0;0;0
1405.5;1;1;0;0
1408.5;0;1;0;0
1411.5;0;1;0;0
1414.5;0;1;0;0
1417.5;0;0;0;0
1420.5;0;0;0;0
1423.5;1;0;0;1
1426.5;0;0;0;0
1429.5;0;0;0;0
1432.5;0;0;0;0
1435.5;0;0;0;0
1438.5;0;0;0;0
1441.5;1;0;0;0
1444.5;0;0;0;0
1447.5;0;1;0;0
1450.5;0;1;0;0
1453.5;0;0;0;0
1456.5;0;2;0;0
1459.5;0;0;0;0
1462.5;0;0;0;0
1465.5;0;0;0;0
1468.5;1;0;0;0
1471.5;0;0;0;0
1474.5;0;1;0;0
1477.5;0;0;0;1
1480.5;1;0;0;0
1483.5;0;0;0;2
1486.5;0;2;0;2
1489.5;0;0;0;1
1492.5;0;1;0;1
1495.5;0;0;0;1
1498.5;0;0;0;2
1501.5;1;0;0;0
1504.5;0;0;0;2
1507.5;0;0;0;2
1510.5;0;1;0;1
1513.5;0;0;0;4
1516.5;0;0;0;4
1519.5;0;0;0;7
1522.5;0;1;0;6
1525.5;0;1;0;4
1528.5;0;0;0;1
1531.5;0;0;0;5
1534.5;0;1;0;3
1537.5;0;0;0;9
1540.5;0;0;0;9
1543.5;1;1;0;16
1546.5;0;0;0;7
1549.5;0;0;0;11
1552.5;0;1;0;11
1555.5;0;1;0;14
1558.5;0;1;0;11
1561.5;0;1;0;17
1564.5;0;1;0;15
1567.5;0;1;0;19
1570.5;0;1;0;20
1573.5;0;1;0;22
1576.5;1;0;0;23
1579.5;0;0;0;21
1582.5;1;0;0;23
1585.5;1;1;0;23
1588.5;0;0;0;22
1591.5;0;0;0;22
1594.5;1;0;0;25
1597.5;1;0;0;29
1600.5;1;2;0;30
1603.5;0;0;0;28
1606.5;0;1;0;33
1609.5;0;0;0;41
1612.5;0;0;0;38
1615.5;0;1;0;31
1618.5;0;2;0;42
1621.5;0;0;0;38
1624.5;0;1;0;43
1627.5;0;2;0;33
1630.5;1;1;0;50
1633.5;0;0;0;42
1636.5;0;1;0;37
1639.5;0;0;0;33
1642.5;0;0;0;32
1645.5;0;0;0;42
1648.5;0;0;0;32
1651.5;1;0;0;35
1654.5;0;1;0;32
1657.5;0;0;0;39
1660.5;2;0;0;41
1663.5;0;3;0;36
1666.5;0;1;0;31
1669.5;0;0;0;23
1672.5;0;1;0;30
1675.5;0;0;0;27
1678.5;0;0;0;33
1681.5;0;1;0;22
1684.5;0;2;0;23
1687.5;0;1;0;20
1690.5;0;0;0;22
1693.5;0;0;0;17
1696.5;0;1;0;11
1699.5;0;0;0;17
1702.5;0;0;0;17
1705.5;0;2;0;23
1708.5;1;0;0;11
1711.5;0;0;0;14
1714.5;1;0;0;16
1717.5;0;1;0;8
1720.5;1;0;0;13
1723.5;0;1;0;4
1726.5;0;0;0;7
1729.5;0;0;0;5
1732.5;0;0;0;4
1735.5;0;1;0;6
1738.5;1;0;0;4
1741.5;0;0;0;2
1744.5;0;0;0;4
1747.5;1;0;0;2
1750.5;0;1;0;3
1753.5;0;4;0;1
1756.5;0;1;0;1
1759.5;0;0;0;1
1762.5;0;0;0;0
1765.5;0;3;0;2
1768.5;0;0;0;3
1771.5;0;0;0;3
1774.5;0;0;0;0
1777.5;1;0;0;1
1780.5;0;2;0;0
1783.5;0;2;0;0
1786.5;0;1;0;0
1789.5;0;1;0;0
1792.5;0;0;0;1
1795.5;0;0;0;1
1798.5;0;0;0;0
1801.5;0;0;0;0
1804.5;1;0;0;1
1807.5;0;0;0;0
1810.5;0;2;0;0
