Name:: Spectrum 276;Timestamp:: 2025-Jul-03 18:03:24;Device:: Ossila Spectrometer (COM5);Colour:: (11: 217: 24);Integration Time (ms):: 150.0;Accumulation Number:: 1;Averaging Number:: 1;Delay Time:: 0;Trigger Mode:: Internal;Measurement Type:: Intensity;Comments:: 
Wavelength (nm),Intensity,Smoothed,Background,Reference
319.73,1439.0,0.0,0.0,0.0
320.26,1469.0,0.0,0.0,0.0
320.79,1507.0,0.0,0.0,0.0
321.32,1494.0,0.0,0.0,0.0
321.85,1498.0,0.0,0.0,0.0
322.38,1501.0,0.0,0.0,0.0
322.91,1502.0,0.0,0.0,0.0
323.44,1538.0,0.0,0.0,0.0
323.97,1537.0,0.0,0.0,0.0
324.5,1517.0,0.0,0.0,0.0
325.03,1553.0,0.0,0.0,0.0
325.56,1528.0,0.0,0.0,0.0
326.09,1482.0,0.0,0.0,0.0
326.62,1520.0,0.0,0.0,0.0
327.15,1490.0,0.0,0.0,0.0
327.68,1441.0,0.0,0.0,0.0
328.21,1499.0,0.0,0.0,0.0
328.74,1517.0,0.0,0.0,0.0
329.27,1467.0,0.0,0.0,0.0
329.8,1529.0,0.0,0.0,0.0
330.32,1509.0,0.0,0.0,0.0
330.85,1523.0,0.0,0.0,0.0
331.38,1529.0,0.0,0.0,0.0
331.91,1573.0,0.0,0.0,0.0
332.44,1506.0,0.0,0.0,0.0
332.97,1490.0,0.0,0.0,0.0
333.5,1500.0,0.0,0.0,0.0
334.03,1574.0,0.0,0.0,0.0
334.56,1559.0,0.0,0.0,0.0
335.09,1509.0,0.0,0.0,0.0
335.62,1512.0,0.0,0.0,0.0
336.15,1486.0,0.0,0.0,0.0
336.67,1479.0,0.0,0.0,0.0
337.2,1538.0,0.0,0.0,0.0
337.73,1518.0,0.0,0.0,0.0
338.26,1536.0,0.0,0.0,0.0
338.79,1494.0,0.0,0.0,0.0
339.32,1479.0,0.0,0.0,0.0
339.85,1449.0,0.0,0.0,0.0
340.38,1479.0,0.0,0.0,0.0
340.9,1546.0,0.0,0.0,0.0
341.43,1542.0,0.0,0.0,0.0
341.96,1540.0,0.0,0.0,0.0
342.49,1547.0,0.0,0.0,0.0
343.02,1513.0,0.0,0.0,0.0
343.55,1453.0,0.0,0.0,0.0
344.07,1496.0,0.0,0.0,0.0
344.6,1487.0,0.0,0.0,0.0
345.13,1478.0,0.0,0.0,0.0
345.66,1510.0,0.0,0.0,0.0
346.19,1587.0,0.0,0.0,0.0
346.71,1552.0,0.0,0.0,0.0
347.24,1507.0,0.0,0.0,0.0
347.77,1472.0,0.0,0.0,0.0
